champion	id	winrate.0-25	winrate.25-30	winrate.30-35	winrate.35-40	winrate.40+
Aatrox	266					
Ahri	103					
Akali	84					
Alistar	12					
Amumu	32					
Anivia	34					
Annie	1					
Ashe	22					
AurelionSol	136					
Azur	268					
Bard	432					
Blitzcrank	53					
Brand	63					
Braum	201					
Caitlyn	51					
Camille	164					
Cassiopeia	69					
Chogath	31					
Corki	42					
Darius	122					
Diana	131					
Draven	119					
DrMundo	36					
Ekko	245					
Elise	60					
Evelynn	28					
Ezreal	81					
FiddleSticks	9					
Fiora	114					
Fizz	105					
Galio	3					
Gangplank	41					
Garen	86					
Gnar	150					
Gragas	79					
Graves	104					
Hecarim	120					
Heimerdinger	74					
Illaoi	420					
Irelia	39					
Ivern	427					
Janna	40					
JarvanIV	59					
Jax	24					
Jayce	126					
Jhin	202					
Jinx	222					
Kalista	429					
Karma	43					
Karthus	30					
Kassadin	38					
Katarina	55					
Kayle	10					
Kennen	85					
Khazix	121					
Kindred	203					
