,participant1.timeline.xpPerMinDeltas.0-10,participant2.timeline.xpPerMinDeltas.0-10,participant3.timeline.xpPerMinDeltas.0-10,participant4.timeline.xpPerMinDeltas.0-10,participant5.timeline.xpPerMinDeltas.0-10,participant6.timeline.xpPerMinDeltas.0-10,participant7.timeline.xpPerMinDeltas.0-10,participant8.timeline.xpPerMinDeltas.0-10,participant9.timeline.xpPerMinDeltas.0-10,participant10.timeline.xpPerMinDeltas.0-10,participant1.timeline.goldPerMinDeltas.0-10,participant2.timeline.goldPerMinDeltas.0-10,participant3.timeline.goldPerMinDeltas.0-10,participant4.timeline.goldPerMinDeltas.0-10,participant5.timeline.goldPerMinDeltas.0-10,participant6.timeline.goldPerMinDeltas.0-10,participant7.timeline.goldPerMinDeltas.0-10,participant8.timeline.goldPerMinDeltas.0-10,participant9.timeline.goldPerMinDeltas.0-10,participant10.timeline.goldPerMinDeltas.0-10,teamId_100.win,team1.cumulativeGoldPerMinDeltas.0-10,team2.cumulativeGoldPerMinDeltas.0-10,team1.cumulativeXpPerMinDeltas.0-10,team2.cumulativeXpPerMinDeltas.0-10,xpDifferencePerMinDeltas.0-10,goldDifferencePerMinDeltas.0-10
0,297.8,346.2,332.2,285.4,168.2,360.0,243.9,11.6,14.6,224.4,304.9,277.5,416.4,271.4,230.1,366.7,239.7,100.0,100.0,222.9,1,1500.2999999999997,1029.3,1429.8,854.5,575.3,470.9999999999998
1,280.0,258.4,457.7,317.2,367.9,394.4,323.1,358.5,408.6,329.2,270.1,298.6,365.2,260.79999999999995,230.2,269.5,331.8,225.5,425.7,180.5,1,1424.9,1433.0,1681.1999999999998,1813.8,-132.60000000000014,-8.099999999999909
2,258.8,372.1,299.70000000000005,423.9,342.5,481.9,418.9,282.5,349.2,284.7,181.4,318.7,270.4,242.0,316.7,293.70000000000005,300.3,184.0,264.1,303.3,1,1329.2,1345.3999999999999,1697.0,1817.2,-120.20000000000005,-16.199999999999818
3,267.0,457.4,433.0,362.3,261.2,395.5,223.9,404.1,316.6,335.2,263.8,324.9,271.8,304.2,226.7,259.6,178.7,217.8,271.5,284.70000000000005,0,1391.4,1212.3000000000002,1780.9,1675.3,105.60000000000014,179.0999999999999
4,339.2,528.0,249.0,357.9,390.5,336.0,335.0,354.20000000000005,402.1,231.8,333.20000000000005,374.5,249.1,378.6,270.1,284.0,371.3,333.1,310.1,232.9,0,1605.5,1531.4,1864.6,1659.1000000000001,205.49999999999977,74.09999999999991
5,395.0,431.4,312.6,299.6,436.9,262.9,403.3,266.8,454.4,446.1,295.7,264.2,246.2,323.5,367.0,294.0,304.0,209.1,344.4,268.70000000000005,1,1496.6,1420.2,1875.5,1833.5,42.0,76.39999999999986
6,289.3,459.9,333.0,339.4,507.1,445.0,283.2,486.1,214.5,495.1,292.2,267.5,241.9,382.0,291.8,252.1,247.2,273.0,159.0,358.20000000000005,1,1475.3999999999999,1289.5,1928.6999999999998,1923.9,4.799999999999727,185.89999999999986
7,265.7,392.9,290.20000000000005,413.0,225.4,400.6,359.3,265.0,453.9,471.4,232.8,277.4,259.6,247.1,208.4,354.2,348.70000000000005,257.9,360.4,293.1,0,1225.3,1614.3000000000002,1587.2,1950.2000000000003,-363.0000000000002,-389.0000000000002
8,478.7,294.0,478.4,316.79999999999995,454.4,302.4,272.3,459.0,406.0,266.1,300.1,203.6,406.0,306.4,285.70000000000005,242.0,254.0,274.8,242.8,194.0,1,1501.8,1207.6,2022.2999999999997,1705.8000000000002,316.49999999999955,294.20000000000005
9,490.6,266.1,460.9,336.8,371.7000000000001,246.7,461.4,366.8,467.8,385.2,294.0,182.6,320.3,255.5,260.9,168.0,319.5,283.6,288.9,327.7,0,1313.3000000000002,1387.7,1926.1,1927.8999999999999,-1.7999999999999545,-74.39999999999986
10,306.79999999999995,332.1,428.0,408.5,413.0,312.4,401.9,224.9,477.1,305.29999999999995,231.2,326.7,370.6,465.8,335.70000000000005,236.5,394.2,180.5,312.20000000000005,229.6,1,1730.0,1353.0,1888.4,1721.6,166.80000000000018,377.0
