index,p1.championId,p2.championId,p3.championId,p4.championId,p5.championId,p6.championId,p7.championId,p8.championId,p9.championId,p10.championId,p1.xpDiffPerMinDeltas,p2.xpDiffPerMinDeltas,p3.xpDiffPerMinDeltas,p4.xpDiffPerMinDeltas,p5.xpDiffPerMinDeltas,p6.xpDiffPerMinDeltas,p7.xpDiffPerMinDeltas,p8.xpDiffPerMinDeltas,p9.xpDiffPerMinDeltas,p10.xpDiffPerMinDeltas,t1.goldPerMinDeltas,t2.goldPerMinDeltas,t1.firstBlood,t2.firstBlood,t1.firstRiftHerald,t2.firstRiftHerald,t1.win
0,79,147,202,10,555,84,57,246,145,121,115.06,115.06,115.06,115.06,115.06,-115.06,-115.06,-115.06,-115.06,-115.06,1500.3,1029.3,0,1,0,0,1
1,202,121,4,267,8,266,145,236,28,12,-27.55,-150.2,99.2,-27.55,-26.5,26.5,27.55,-99.2,150.2,27.55,1424.9,1433,1,0,1,0,1
2,412,114,145,3,64,516,777,89,20,67,-4.35,-109.8,-4.35,5,-6.7,109.8,-5,4.35,6.7,4.35,1329.2,1345.4,1,0,0,1,1
3,246,126,134,81,101,84,412,62,2,112,-49.6,53.3,37.5,32.2,32.2,-37.5,-32.2,-53.3,49.6,-32.2,1391.4,1212.3,1,0,0,0,0
4,163,62,80,30,238,134,20,202,24,267,1.1,125.9,1.1,22.9,54.5,-54.5,-22.9,-1.1,-125.9,-1.1,1605.5,1531.4,0,1,1,0,0
5,4,164,89,145,104,81,59,12,236,85,-59.4,-14.7,41.25,41.25,33.6,-41.25,-33.6,-41.25,59.4,14.7,1496.6,1420.2,0,1,1,0,1
6,26,126,875,21,112,164,145,74,54,876,65.5,0,-162.1,65.5,0,0,-65.5,0,-65.5,162.1,1475.4,1289.5,1,0,0,1,1
7,202,236,154,245,875,28,157,79,39,136,-66.6,0,0,-58.4,-66.6,0,66.6,66.6,0,58.4,1225.3,1614.3,0,1,1,0,0
8,85,89,36,202,777,28,236,134,39,412,0,36.2,0,36.2,-4.6,0,-36.2,4.6,0,-36.2,1501.8,1207.6,1,0,1,0,1
9,98,80,245,145,121,12,58,202,39,876,0,-5.3,0,-5.3,-13.5,5.3,0,5.3,0,13.5,1313.3,1387.7,0,1,0,1,0
10,147,81,3,429,120,126,64,526,142,145,33.36,33.36,33.36,33.36,33.36,-33.36,-33.36,-33.36,-33.36,-33.36,1730,1353,1,0,1,0,1
11,203,20,67,117,267,13,236,62,104,555,-18.84,-18.84,-18.84,-18.84,-18.84,18.84,18.84,18.84,18.84,18.84,1305.6,1490.6,1,0,1,0,0
12,876,246,54,67,101,164,517,104,80,145,46.1,0,-24.7,0,0,24.7,0,-46.1,0,0,1277.9,1531.6,0,1,0,1,0
13,104,432,81,7,84,246,145,147,54,245,0,-29.6,-29.6,94.9,0,-94.9,29.6,29.6,0,0,1266.8,1364.3,0,1,1,0,0
14,62,145,24,20,89,147,84,164,121,22,22.7,38.65,-45.1,29.8,38.65,-38.65,45.1,-29.8,-22.7,-38.65,1557.7,1517.8,0,1,1,0,1
15,3,104,555,412,164,245,12,22,114,60,-61.54,-61.54,-61.54,-61.54,-61.54,61.54,61.54,61.54,61.54,61.54,1317.1,1586.5,1,0,0,1,0
16,119,62,1,89,876,28,246,81,12,69,0,0,0,0,-80.8,80.8,0,0,0,0,1327.8,1418.3,1,0,1,0,0
17,202,412,76,236,517,2,98,25,142,235,-20.5,-20.5,12.3,0,0,-12.3,0,20.5,0,20.5,1384.1,1309.5,1,0,1,0,1
18,61,114,254,89,81,106,21,55,57,25,-29.9,-15.5,-24.4,-77.25,-77.25,24.4,77.25,29.9,15.5,77.25,1143.4,1412.3,0,1,1,0,0
19,145,12,104,268,164,432,202,876,18,17,64.35,64.35,36.4,-8.9,-87.6,-64.35,-64.35,-36.4,8.9,87.6,1470.2,1412.1,0,1,0,1,1
20,59,56,18,516,147,164,89,112,120,429,-74.6,-14.5,57.9,-29.3,57.9,29.3,-57.9,14.5,74.6,-57.9,1664,1382.7,1,0,1,0,0
21,89,81,126,34,113,18,141,54,497,136,32.25,32.25,0,0,-161.3,-32.25,161.3,0,-32.25,0,1705.8,1320.6,1,0,1,0,0
22,876,89,145,80,236,34,58,12,163,67,216,-67.95,-67.95,0,0,0,0,67.95,-216,67.95,1566.3,1243.5,1,0,1,0,1
23,4,245,80,39,145,30,517,236,875,526,-17.1,2.5,-54.75,18.2,-54.75,-2.5,17.1,54.75,-18.2,54.75,1676.2,1737.5,1,0,1,0,0
24,89,141,57,21,55,157,3,164,113,235,-43.1,200.7,75,-43.1,91.3,-91.3,43.1,-75,-200.7,43.1,1542.6,1446.1,1,0,0,0,1
25,92,145,76,53,555,64,62,37,115,56,64.3,40.45,-71.6,40.45,38,71.6,-64.3,-40.45,-40.45,-38,1567.4,1260.5,1,0,1,0,1
26,89,202,141,114,55,37,777,54,64,74,26.7,26.7,26.7,26.7,26.7,-26.7,-26.7,-26.7,-26.7,-26.7,1338.6,1152.9,1,0,1,0,1
27,235,64,164,38,57,76,412,119,6,68,-5.5,40.2,45,-9.3,-5.5,-40.2,5.5,5.5,-45,9.3,1419,1225.5,1,0,1,0,0
28,114,89,64,84,69,119,80,164,517,79,-1.9,-19.6,28.8,-19.6,-104.6,104.6,19.6,1.9,19.6,-28.8,1540.3,1608.3,0,1,1,0,0
29,516,555,115,81,876,517,104,202,27,432,-28.2,0,0,0,-24.9,0,24.9,0,28.2,0,1460.2,1329.1,1,0,0,1,1
30,236,526,266,104,1,147,238,84,51,427,78.7,78.7,-136.4,-44.7,8.4,-78.7,-8.4,136.4,-78.7,44.7,1538.3,1511.1,1,0,0,1,0
31,62,81,427,68,147,84,526,58,163,21,-63.8,-75.8,4.4,-60.4,-75.8,63.8,75.8,60.4,-4.4,75.8,1316.2,1711.2,0,1,0,1,1
32,523,126,142,421,412,56,53,164,34,21,-35.6,0,0,-101.1,-35.6,101.1,35.6,0,0,35.6,1407.2,1332.9,0,1,1,0,0
33,412,113,54,202,101,69,163,236,80,68,-73.9,-73.9,-73.9,-73.9,-73.9,73.9,73.9,73.9,73.9,73.9,1346.1,1905.3,0,1,0,0,0
34,246,163,266,555,119,79,164,267,157,145,-35.5,95.3,-51.2,14.6,14.6,-95.3,51.2,-14.6,35.5,-14.6,1601,1403.2,1,0,1,0,0
35,517,104,114,202,518,26,4,164,81,203,122.4,110.7,1.2,23.25,23.25,-23.25,-1.2,-122.4,-23.25,-110.7,1405.5,1218.8,0,1,0,1,1
36,202,114,876,89,555,7,875,51,164,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,64,21,62,3,350,875,104,157,517,85,-34,0,42.5,0,0,0,34,0,0,-42.5,1357.3,1248.1,1,0,1,0,1
38,245,412,202,62,45,106,76,81,89,8,41.1,24.8,24.8,0,0,0,-41.1,-24.8,-24.8,0,1470.6,1438.1,0,1,1,0,1
39,104,142,235,111,555,76,777,53,81,106,76.7,47.7,22.6,22.6,-116.9,-76.7,-47.7,-22.6,-22.6,116.9,1606.5,1385.1,0,1,1,0,0
40,145,164,412,245,427,119,147,24,236,79,-2.05,-75.9,-2.05,0,0,2.05,2.05,0,75.9,0,1287,1504.5,1,0,0,1,0
